               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,             0.03599,            0.014896,           0.0025153,             0.64886,             0.59167,             0.56444,             0.30916,            0.040066,            0.011275,           0.0017646,           0.0088813,           0.0088813,           0.0088813
                 115,            0.031853,            0.012394,            0.001322,             0.74456,             0.59167,             0.58309,             0.29366,            0.037417,            0.011507,           0.0017335,           0.0088714,           0.0088714,           0.0088714
                 116,            0.031991,            0.013523,           0.0021211,             0.59745,                 0.4,              0.4279,             0.21191,            0.043296,            0.013093,           0.0016306,           0.0088615,           0.0088615,           0.0088615
                 117,            0.028949,            0.012376,           0.0041514,             0.57282,             0.58218,             0.56851,             0.22499,            0.036755,            0.013025,           0.0015783,           0.0088516,           0.0088516,           0.0088516
                 118,            0.029471,            0.012783,            0.002507,             0.76518,             0.69167,               0.683,             0.25978,            0.032344,             0.01144,           0.0012286,           0.0088417,           0.0088417,           0.0088417
                 119,            0.034905,            0.015221,           0.0034249,             0.79185,             0.69039,             0.72427,             0.31977,            0.032909,            0.011034,           0.0011619,           0.0088318,           0.0088318,           0.0088318
                 120,             0.03068,            0.012592,           0.0021301,             0.76339,             0.69167,              0.7482,             0.30347,             0.02952,            0.010373,           0.0013255,           0.0088219,           0.0088219,           0.0088219
                 121,             0.03012,            0.011932,           0.0011677,             0.83127,             0.78021,             0.80761,             0.38346,            0.031966,           0.0097375,           0.0020946,            0.008812,            0.008812,            0.008812
                 122,             0.03959,             0.01241,           0.0098306,              0.8933,             0.81916,             0.85152,             0.38674,            0.029839,           0.0092137,           0.0025231,           0.0088021,           0.0088021,           0.0088021
                 123,            0.030903,            0.015846,           0.0016296,             0.80484,             0.72441,             0.80278,             0.41387,            0.027946,            0.010369,           0.0044613,           0.0087922,           0.0087922,           0.0087922
                 124,            0.028789,            0.011841,           0.0011478,             0.82415,             0.70384,             0.79556,             0.41691,            0.028579,            0.010533,           0.0051831,           0.0087823,           0.0087823,           0.0087823
                 125,            0.028863,            0.013079,            0.001703,             0.86973,                 0.6,             0.77019,             0.40963,            0.030396,           0.0098464,           0.0035404,           0.0087724,           0.0087724,           0.0087724
                 126,            0.031575,            0.010185,           0.0018057,                   1,             0.61882,             0.74371,              0.3946,            0.032592,            0.010424,           0.0030209,           0.0087625,           0.0087625,           0.0087625
                 127,            0.031228,            0.010552,           0.0013216,             0.95613,             0.55833,             0.69674,             0.35048,            0.031472,            0.010882,            0.002274,           0.0087526,           0.0087526,           0.0087526
                 128,            0.035033,            0.010722,           0.0024891,             0.81352,             0.53402,             0.64727,             0.32501,             0.03123,            0.011784,           0.0033128,           0.0087427,           0.0087427,           0.0087427
                 129,            0.030171,            0.011409,           0.0014524,              0.9673,             0.47208,             0.60307,             0.28806,            0.034749,            0.012125,           0.0041849,           0.0087328,           0.0087328,           0.0087328
                 130,            0.030706,            0.011298,           0.0013899,             0.77295,             0.55833,             0.61346,             0.31508,            0.031839,            0.010841,            0.002951,           0.0087229,           0.0087229,           0.0087229
                 131,            0.033054,            0.013448,           0.0086985,                   1,             0.64677,             0.79435,             0.37659,            0.031936,            0.010091,           0.0021532,            0.008713,            0.008713,            0.008713
                 132,            0.032392,            0.010942,           0.0041603,                   1,             0.67007,             0.77309,             0.35375,            0.032982,            0.010134,           0.0019529,           0.0087031,           0.0087031,           0.0087031
